short_name,player_positions,overall,potential,age,club_team_id,club_name,league_id,league_name,nationality_id,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
K. MbappÃ©,"ST, LW",91,94,24,73,Paris Saint Germain,16,Ligue 1,18,France,Right,4,5,5,High/Low,97,90,80,92,36,78,13,5,7,11,6,
E. Haaland,ST,91,94,22,10,Manchester City,13,Premier League,36,Norway,Left,3,3,5,High/Medium,89,93,66,80,45,88,7,14,13,11,7,
K. De Bruyne,"CM, CAM",91,91,32,10,Manchester City,13,Premier League,7,Belgium,Right,5,4,5,High/Medium,72,88,94,87,65,78,15,13,5,10,13,
L. Messi,"CF, CAM",90,90,36,112893,Inter Miami,39,Major League Soccer,52,Argentina,Left,4,4,5,Low/Low,80,87,90,94,33,64,6,11,15,14,8,
K. Benzema,"CF, ST",90,90,35,607,Al Ittihad,350,Pro League,18,France,Right,4,4,5,Medium/Medium,79,88,83,87,39,78,13,11,5,5,7,
R. Lewandowski,ST,90,90,34,241,FC Barcelona,53,La Liga,37,Poland,Right,4,4,5,High/Medium,75,91,80,87,44,84,15,6,12,8,10,
T. Courtois,GK,90,90,31,243,Real Madrid,53,La Liga,7,Belgium,Left,3,1,5,Medium/Medium,,,,,,,85,89,76,90,93,46
H. Kane,ST,90,90,29,21,FC Bayern MÃ¼nchen,19,Bundesliga,14,England,Right,5,3,5,High/High,69,93,84,83,49,83,8,10,11,14,11,
Vini Jr.,LW,89,94,22,243,Real Madrid,53,La Liga,54,Brazil,Right,4,5,5,High/High,95,82,78,90,29,68,5,7,7,7,10,
Alisson,GK,89,90,30,9,Liverpool,13,Premier League,54,Brazil,Right,3,1,5,Medium/Medium,,,,,,,86,85,85,90,89,56
Rodri,"CDM, CM",89,90,27,10,Manchester City,13,Premier League,45,Spain,Right,4,3,4,Medium/High,58,73,80,80,85,84,10,10,7,14,8,
RÃºben Dias,CB,89,90,26,10,Manchester City,13,Premier League,38,Portugal,Right,4,2,4,Medium/High,62,39,66,69,89,87,7,8,13,7,12,
Neymar Jr,LW,89,89,31,605,Al Hilal,350,Pro League,54,Brazil,Right,5,5,5,High/Medium,86,83,85,93,37,61,9,9,15,15,11,
M. ter Stegen,GK,89,89,31,241,FC Barcelona,53,La Liga,21,Germany,Right,4,1,5,Medium/Medium,,,,,,,86,85,89,86,91,47
Casemiro,CDM,89,89,31,11,Manchester United,13,Premier League,54,Brazil,Right,3,2,4,Medium/High,63,75,79,73,89,88,13,14,16,12,12,
V. van Dijk,CB,89,89,31,9,Liverpool,13,Premier League,34,Netherlands,Right,3,2,4,Medium/High,78,60,71,72,89,86,13,10,13,11,11,
M. Salah,RW,89,89,31,9,Liverpool,13,Premier League,111,Egypt,Left,3,4,5,High/Medium,89,87,81,88,45,76,14,14,9,11,14,
F. Valverde,"CM, RW",88,92,24,243,Real Madrid,53,La Liga,60,Uruguay,Right,4,3,3,High/High,88,82,84,84,80,82,6,10,6,15,8,
V. Osimhen,ST,88,91,24,48,Napoli,31,Serie A,133,Nigeria,Right,4,3,3,High/Medium,90,86,66,83,42,82,14,14,10,9,6,
Ederson,GK,88,89,29,10,Manchester City,13,Premier League,54,Brazil,Left,3,1,3,Medium/Medium,,,,,,,86,82,91,86,86,64
J. Kimmich,"CDM, RB, CM",88,89,28,21,FC Bayern MÃ¼nchen,19,Bundesliga,21,Germany,Right,4,3,4,High/Medium,70,74,88,84,82,79,8,15,7,15,15,
A. Griezmann,"ST, CF",88,88,32,240,AtlÃ©tico Madrid,53,La Liga,18,France,Left,3,4,5,High/High,80,88,87,88,58,75,14,8,14,13,14,
J. Oblak,GK,88,88,30,240,AtlÃ©tico Madrid,53,La Liga,44,Slovenia,Right,3,1,4,Medium/Medium,,,,,,,85,90,78,86,87,46
Bruno Fernandes,"CAM, CM",88,88,28,11,Manchester United,13,Premier League,38,Portugal,Right,3,4,4,High/High,71,86,90,83,69,77,12,14,15,8,14,
Bernardo Silva,"CM, RW",88,88,28,10,Manchester City,13,Premier League,38,Portugal,Left,3,4,3,High/High,69,78,86,92,70,69,9,10,14,12,9,
M. Ã˜degaard,"CAM, CM",87,90,24,1,Arsenal,13,Premier League,36,Norway,Left,2,5,4,High/Medium,72,81,88,87,61,64,14,15,15,8,10,
F. de Jong,"CM, CDM",87,90,26,241,FC Barcelona,53,La Liga,34,Netherlands,Right,3,4,4,High/Medium,82,69,86,87,77,78,7,13,10,10,9,
